 ,Area,Mean,Min,Max,X,Y,Ch,Counter,Count
1,0,0,0,0,76.000,30.000,1,0,133
2,0,0,0,0,76.667,38.000,1,0,133
3,0,0,0,0,89.333,52.000,1,0,133
4,0,0,0,0,100.333,48.000,1,0,133
5,0,0,0,0,112.000,40.333,1,0,133
6,0,0,0,0,108.667,22.333,1,0,133
7,0,0,0,0,201.000,53.333,1,0,133
8,0,0,0,0,197.333,40.333,1,0,133
9,0,0,0,0,203.000,39.333,1,0,133
10,0,0,0,0,201.667,12.000,1,0,133
11,0,50,50,50,270.000,154.000,1,0,133
12,0,38,38,38,234.333,149.333,1,0,133
13,0,52,52,52,239.333,103.000,1,0,133
14,0,46,46,46,212.667,118.667,1,0,133
15,0,36,36,36,50.000,24.667,1,0,133
16,0,24,24,24,38.667,18.333,1,0,133
17,0,42,42,42,148.667,15.667,1,0,133
18,0,22,22,22,247.333,23.000,1,0,133
19,0,40,40,40,237.000,28.667,1,0,133
20,0,48,48,48,198.667,22.667,1,0,133
21,0,26,26,26,246.000,69.333,1,0,133
22,0,36,36,36,237.333,82.000,1,0,133
23,0,24,24,24,218.333,77.667,1,0,133
24,0,32,32,32,203.667,77.333,1,0,133
25,0,40,40,40,191.000,87.667,1,0,133
26,0,34,34,34,166.667,108.333,1,0,133
27,0,34,34,34,127.667,75.333,1,0,133
28,0,36,36,36,135.000,70.667,1,0,133
29,0,38,38,38,121.000,73.333,1,0,133
30,0,34,34,34,115.667,104.667,1,0,133
31,0,30,30,30,190.000,137.000,1,0,133
32,0,28,28,28,137.333,153.667,1,0,133
33,0,34,34,34,148.000,131.333,1,0,133
34,0,50,50,50,157.333,175.000,1,0,133
35,0,36,36,36,162.667,154.667,1,0,133
36,0,36,36,36,218.333,171.000,1,0,133
37,0,56,56,56,221.000,154.667,1,0,133
38,0,28,28,28,186.000,207.000,1,0,133
39,0,52,52,52,194.000,200.667,1,0,133
40,0,22,22,22,138.667,193.667,1,0,133
41,0,38,38,38,148.667,209.333,1,0,133
42,0,56,56,56,227.333,233.667,1,0,133
43,0,48,48,48,237.000,201.333,1,0,133
44,0,32,32,32,235.333,219.000,1,0,133
45,0,38,38,38,291.333,190.333,1,0,133
46,0,38,38,38,178.000,225.333,1,0,133
47,0,44,44,44,147.667,238.000,1,0,133
48,0,46,46,46,206.667,227.333,1,0,133
49,0,68,68,68,208.333,240.333,1,0,133
50,0,52,52,52,219.000,241.667,1,0,133
51,0,56,56,56,248.333,246.333,1,0,133
52,0,42,42,42,238.000,243.333,1,0,133
53,0,56,56,56,271.000,249.333,1,0,133
54,0,44,44,44,262.667,257.333,1,0,133
55,0,36,36,36,210.000,273.667,1,0,133
56,0,58,58,58,287.667,259.667,1,0,133
57,0,36,36,36,302.667,263.667,1,0,133
58,0,58,58,58,226.333,278.667,1,0,133
59,0,32,32,32,237.000,299.333,1,0,133
60,0,50,50,50,198.000,307.333,1,0,133
61,0,54,54,54,177.333,290.333,1,0,133
62,0,28,28,28,180.333,304.333,1,0,133
63,0,64,64,64,153.000,302.000,1,0,133
64,0,28,28,28,340.333,296.667,1,0,133
65,0,48,48,48,344.667,307.333,1,0,133
66,0,38,38,38,358.667,301.000,1,0,133
67,0,24,24,24,372.000,322.667,1,0,133
68,0,24,24,24,376.667,327.000,1,0,133
69,0,26,26,26,367.000,331.000,1,0,133
70,0,30,30,30,288.667,287.333,1,0,133
71,0,66,66,66,281.000,279.667,1,0,133
72,0,56,56,56,267.333,288.667,1,0,133
73,0,40,40,40,225.000,301.333,1,0,133
74,0,32,32,32,223.667,312.667,1,0,133
75,0,38,38,38,210.667,318.667,1,0,133
76,0,48,48,48,179.667,331.000,1,0,133
77,0,50,50,50,163.000,339.000,1,0,133
78,0,24,24,24,167.667,334.000,1,0,133
79,0,52,52,52,162.333,331.333,1,0,133
80,0,42,42,42,159.667,320.333,1,0,133
81,0,28,28,28,159.000,308.000,1,0,133
82,0,66,66,66,344.667,319.333,1,0,133
83,0,36,36,36,225.000,406.000,1,0,133
84,0,30,30,30,236.667,400.333,1,0,133
85,0,16,16,16,239.667,415.667,1,0,133
86,0,26,26,26,229.333,419.667,1,0,133
87,0,46,46,46,219.000,417.333,1,0,133
88,0,22,22,22,220.667,424.000,1,0,133
89,0,28,28,28,229.000,426.667,1,0,133
90,0,24,24,24,217.000,431.333,1,0,133
91,0,30,30,30,211.667,432.667,1,0,133
